NAME,Year,Industry,Category,NAICS Code,BEA Line Code,BEA Employment,NAICS Employment
"Humphreys County, Tennessee",2035,"Mining, quarrying, and oil and gas extraction",BEA and NAICS,21,200,73.21428571428572,73.21428571428572
"Humphreys County, Tennessee",2049,"Professional, scientific, and technical services",BEA and NAICS,54,1200,203.60714285714286,203.60714285714286
"Humphreys County, Tennessee",2025,Public Administration,NAICS,92,NA,0,870.8065450884101
"Humphreys County, Tennessee",2028,Educational services,BEA and NAICS,61,1500,98.45417515274949,191.20454851547902
"Humphreys County, Tennessee",2040,Construction,BEA and NAICS,23,400,867.7857142857143,941.8737384962062
"Humphreys County, Tennessee",2022BL,Educational services,BEA and NAICS,61,1500,82.0325865580448,159.31273256876077
"Humphreys County, Tennessee",2035,"Professional, scientific, and technical services",BEA and NAICS,54,1200,215.10714285714286,215.10714285714286
"Humphreys County, Tennessee",2036,Other services (except government and government enterprises),BEA and NAICS,81,1900,757.0,757.0
"Humphreys County, Tennessee",2044,Transportation and warehousing,BEA and NAICS,48-49,800,596.2857142857143,656.2034856237542
"Humphreys County, Tennessee",2028,Real estate and rental and leasing,BEA and NAICS,53,1100,226.64285714285714,226.64285714285714
"Humphreys County, Tennessee",2039,Wholesale trade,BEA and NAICS,42,600,150.5645912132674,150.5645912132674
